author_name,rating,review_text,review_date,app_version,platform
Deborah Turner,5,transfer of money from one account to another is so easy to do.,2025-07-03T09:47:38-07:00,2025.02.02,android
THERESA Smith,5,This banking online is the easiest thing to use. I love that you see what has gone through and what is pending so you don't over spend.,2025-07-03T03:46:02-07:00,2025.02.02,android
Vince Buxbaum,5,"Excellent service, and app is easy to navigate. Best Bank to use hands down.",2025-06-29T10:22:37-07:00,2025.02.02,android
Suzette Marchbanks,5,It would be great if it had a feature to alert you on your transactions. That way if your account is compromised you would know right away.,2025-06-29T04:25:20-07:00,2025.02.02,android
Harrison Smith,5,very efficient,2025-06-27T20:48:06-07:00,2025.02.02,android
Laura Hartman,5,wonderful credit union,2025-06-27T20:06:15-07:00,2025.02.02,android
Heather Mize,5,super and easiest can be,2025-06-26T03:56:53-07:00,2025.02.02,android
Aaron Herzog,5,Easy to use,2025-06-25T12:45:56-07:00,2025.02.02,android
Tammy Dunn,1,very inconvenient to have to reset up my online bill pay.,2025-06-24T14:32:31-07:00,2025.02.02,android
Becky Oleary,5,Very convenient.,2025-06-23T09:19:17-07:00,2025.02.02,android
Marianne Cunniff,5,"Easy,confidential and great customer service",2025-06-22T16:29:24-07:00,2025.02.02,android
Charles Jones,5,exceptional,2025-06-19T17:16:48-07:00,2025.02.02,android
Dawna Franks,4,friendly app.,2025-06-19T09:49:12-07:00,2025.02.02,android
Karolyn Shikles,5,Easy to use and understand. Well laid out. Great app.,2025-06-19T08:34:05-07:00,2025.02.02,android
Erica Anthony,3,the app always updates and you have to logout and log back in to refresh.,2025-06-18T12:50:05-07:00,Unknown,android
Laura Estes,5,"I have been a member for 21 years! I am older, so when the app changes, I miss some of how it we works. The last app change has me frustrated with the check Deposit part! It has a default of depositing to my savings and doesn't have a way to default to my checking. I am not sure why please help me to default my check deposit into my checking! PLEASE HELP!",2025-06-18T07:25:44-07:00,2025.02.02,android
Curtis,5,I love the on line banking and customer service is always so helpful. The security is great and logging in is always easy. I recommend cacu to anyone who would like to have a great banking experience .,2025-06-17T20:04:47-07:00,2025.02.02,android
Keith Schlotman,4,great app until it updated recently. can't download cc statement without being kicked off for inactivity. my phone says there is a bug in it and clearing cache doesn't fix the problem.,2025-06-16T20:21:07-07:00,2025.02.02,android
Kamiar Obbadi,5,Convenient and quick.,2025-06-16T15:36:20-07:00,Unknown,android
Debbie Seale,5,Still great!,2025-06-16T11:45:22-07:00,2025.02.02,android
