author_name,rating,review_text,review_date,title,app_version
Alice banana 86,1,"CACU bought out my credit union, and it’s been a nightmare. I’ve attempted to make an account in order to access my funds 2 times now and it’s been over 2 weeks with zero follow up. How could that be with an automated form??? I have credit card balance I’m unable to pay, I was sent multiple credit cards and zero way to access that balance.",2025-06-05T09:38:50-07:00,God awful bank,2025.2.2.3
ratherBfying69!,5,Always proficient and trustworthy,2025-05-26T16:52:09-07:00,Best bank,2025.2.2.3
teeblackley,4,"So far I really like the app. Easy to navigate and everything is in order. The only complaint (thus 4 stars): the only option for notifications is Push. I subscribed to activity notifications with my old bank and set it up so I was notified by text of every transaction; immediately, not when it posted. It gave me great peace of mind in this time when we need to be super vigilant.",2025-05-14T10:33:43-07:00,New account holder,2025.2.2.3
justicejill,5,I recommend Community America to everyone. Their wide range of services go beyond investments that changed our way of life for the better. Tools and resources at your fingertips tips backed by real employees that care to find the answers.,2025-05-09T10:07:01-07:00,Personal & Professional,2025.2.2.3
Dylantheproggggg,3,"I normally like this app, but it has given me more trouble than ever with my account and its updates",2025-04-26T23:03:59-07:00,Meh,2025.2.2.3
Brake fam,1,Poor,2025-04-14T16:56:50-07:00,Never works,2025.2.2.3
LeBrisket James,1,These people will move your money around without your permission to settle a debt. Not to mention if your card is -$1 for 30 minutes they automatically charge you 30 for “premium OD usage fee”. Another scummy bank ran by scummy people under the façade that it’s better banking.,2025-04-02T17:27:12-07:00,Don’t go into debt with them,2025.2.2.3
Djfinch,5,"To CACU, I will gladly write a survey, I really enjoy letting you know how much I enjoy your website.the customer service is second to none. Awesome…",2025-04-01T20:33:24-07:00,Website.,2025.2.2.3
hawthorne 12,5,Love this company have not been in bank for some years but will pay them a visit soon,2025-03-28T03:48:25-07:00,Best bank ever,2025.2.2.3
TravCrutc,5,"I think this app is on one of the best platforms for banking apps. I’ve been a member of a few different credit unions and CACU has the exact same interface as the others minus slight differences.

Something one had that I really enjoyed was the “memo” feature in the transfer portal of the app. It lets you leave a note/memo noting what the transfer is for. To the developers, is this something you could consider? It was really helpful in keeping track of what internal transfers were made and why.",2025-03-26T19:52:20-07:00,Works perfectly,2025.2.2.3
CalebLee36,5,"Live chat is almost instant, no waiting",2025-03-22T11:17:40-07:00,Fantastic customer service,2025.2.2.3
S-owen,1,App never loads account information when first opened. You have to close it and reopen multiple times before it actually works. Check deposit is a nightmare.,2025-03-17T13:06:35-07:00,App is barely functioning,2024.10.1.10
Rosicrusium,5,Awesome App,2025-03-15T12:28:23-07:00,5 Star App!!,2024.10.1.10
realstreetmf,3,"Had this bank for years and I love it, but considering switching just because the app, it doesn’t work 50% of the time. So don’t depend on it to be able to show you your information or process things efficiently.",2025-03-14T15:32:03-07:00,"Good bank, bad app",2024.10.1.10
nocap bojack,1,This new version never loads 8 times out of 10 smh,2025-03-14T04:46:17-07:00,Trash,2024.10.1.10
Sir Buddy,3,"The Home Screen widget was very helpful and I can quickly access my account info immediately. Now it’s gone and it’s caused an inconvenience, please bring it back!",2025-03-11T06:32:48-07:00,Where’s the Widget???,2024.10.1.10
Oz Hole,3,9 times out of 10 when I open app it acts like it’s trying to load my account info but never does. Doesn’t matter if I’m on WiFi or on cell data.,2025-02-28T18:26:13-07:00,App used to work,2024.10.1.10
DreeHow,5,I absolutely love this app. It makes tracking my money easy. Keeping track of credit building has been a breeze. Most of all I love that I can simply lock my card when I am not using it to protect me from unauthorized purchases,2025-02-20T13:24:41-07:00,Banking App,2024.10.1.10
tseconphone,5,Works really well and overall a great app!,2024-12-17T06:55:24-07:00,Great app!,2024.10.1.10
Footee1206,1,The app no longer shows the widget on iPhone after iOS 18 update. I miss my widget!,2024-11-23T05:01:53-07:00,Please update app,2024.07.1 (2024.7.0.1)
Scott883,5,How come the widget does not work with the new iPhone update? Can you please fix that,2024-10-29T14:24:20-07:00,New iPhone update,2024.07.1 (2024.7.0.1)
JS KCMO,5,"Great Branch Bank 
Credit Union.. 
Jessica Maxwell has been there for all My Banking Needs for Years, She is Amazing..",2024-10-23T00:32:10-07:00,Northland 64th Location,2024.07.1 (2024.7.0.1)
